""	"output_series_d18O"	"output_series_d13C"
-5.1	3.2940245735	-0.2659110245
-5	3.1369620965	-0.3375224967
-4.9	3.491756576	-0.079328408
-4.8	3.2917790693	-0.0927278224
-4.7	3.2626223473	-0.1707642874
-4.6	3.2359390115	-0.2097128422
-4.5	3.2632857512	-0.0423285335
-4.4	3.1983671727	-0.0696215191
-4.3	3.1920541156	-0.1365755951
-4.2	3.176114754	-0.3778387782
-4.1	3.3130315638	-0.1517816783
-4	3.266567612	-0.1438990171
-3.9	3.2109762462	-0.1542688491
-3.8	3.2544013963	-0.1189339646
-3.7	3.2287991824	-0.2589698227
-3.6	3.0873842074	-0.0484239667
-3.5	3.1780285156	-0.1022637045
-3.4	3.2980384766	-0.2749792562
-3.3	4.0690344573	-0.5436060722
-3.2	3.196673435	0.1041272277
-3.1	3.4191493992	-0.3361486392
-3	3.6926214833	-0.4081370086
-2.9	3.518949682	-0.4331016846
-2.8	3.7817710579	-0.519270908
-2.7	3.9518612052	-0.6493450026
-2.6	3.959893428	-0.7258208544
-2.5	3.8351640733	-0.5220783523
-2.4	3.6003087194	-0.3177176587
-2.3	3.4297077215	-0.3842766377
-2.2	4.1164944579	-0.6532420737
-2.1	3.5864495236	-0.2752941326
-2	4.097203214	-0.4134888604
-1.9	4.0637851376	-0.5270413895
-1.8	4.0570897832	-0.6724289073
-1.7	4.0490876797	-0.6714406245
-1.6	4.0645717201	-0.2181499691
-1.5	3.5953013942	-0.1249340396
-1.4	3.7338581044	-0.0486130368
-1.3	4.275599042	-0.7362474339
-1.2	4.7266325757	-0.8272534416
-1.1	4.5056253656	-0.6803561532
-1	4.0558273422	-0.2189930109
-0.9	4.6005196577	-0.7309538398
-0.8	4.9878266184	-1.2320814167
-0.7	3.9871483744	-0.3312386137
-0.6	4.3237720327	-0.3057639533
-0.5	4.3130692497	-0.0760034286
-0.4	4.073960652	-0.2768994303
-0.3	4.639681482	-0.7055342762
-0.2	3.9346566641	-0.3601164816
-0.1	4.2682101334	-0.2754832994
0	3.6405243311	-0.1011166816
